displayName,officialPosition,Total_Plays,Avg_POPS,Std_POPS
Andrew Van Ginkel,OLB,56.0,0.31661807922816443,0.032344841971513424
Andrew Wingard,FS,4.0,0.30286056342217266,0.0
Angelo Blackson,DT,66.0,0.31957799785520746,0.0373796479330037
Anthony Barr,OLB,12.0,0.3086837038211436,0.020171950061248948
Anthony Chesley,CB,2.0,0.30286056342217266,0.0
Anthony Harris,FS,1.0,0.38478085890046543,
Anthony Hitchens,ILB,4.0,0.32058213558314425,0.03544314432194315
Anthony Nelson,OLB,31.0,0.3239722233969645,0.04715328335929649
Anthony Walker,MLB,3.0,0.30286056342217266,0.0
Antoine Winfield,FS,6.0,0.3150439798713392,0.029843153624289288
Antonio Hamilton,CB,4.0,0.3240690085275672,0.04241689021078915
Antwaun Woods,DT,4.0,0.30286056342217266,0.0
Arden Key,DE,37.0,0.31860443085222906,0.033828344244759556
Arik Armstead,DE,92.0,0.3268928609811872,0.03997431579382484
Armon Watts,NT,40.0,0.3292566959352484,0.03902304952622714
Arthur Maulet,CB,6.0,0.30286056342217266,0.0
Austin Bryant,OLB,24.0,0.315014947637369,0.03402020574403083
Austin Faoliu,DT,8.0,0.3117902794299465,0.02525705097266789
Austin Johnson,NT,51.0,0.31568879481628415,0.03076651952380799
Avery Williams,RB,4.0,0.32086281614935663,0.03600450545436795
Avonte Maddox,CB,2.0,0.39663473860327586,0.017283737896464924
Azeez Al-Shaair,MLB,9.0,0.30286056342217266,0.0
Azeez Ojulari,OLB,89.0,0.31643683039083376,0.03667431853386307
Azur Kamara,DE,5.0,0.30286056342217266,0.0
B.J. Hill,DT,93.0,0.3200298546559646,0.033874689214869996
Baron Browning,ILB,8.0,0.31267858038049057,0.02776954547612458
Ben Banogu,DE,25.0,0.3286137870745977,0.0495629055830091
Ben Niemann,ILB,19.0,0.3202699109896436,0.043699050984299735
Benardrick McKinney,ILB,1.0,0.30286056342217266,
Benson Mayowa,OLB,44.0,0.3212164519488532,0.0415630769043711
Bilal Nichols,DE,91.0,0.31786392888870185,0.0352548695349803
Blake Cashman,ILB,1.0,0.30286056342217266,
Blake Martinez,ILB,4.0,0.3244955416182078,0.04326995639207037
Bobby Brown,NT,5.0,0.3184391812876962,0.03483484854280337
Bobby McCain,CB,1.0,0.30286056342217266,
Bobby Okereke,MLB,17.0,0.3284727603984918,0.05316661278907062
Bobby Wagner,MLB,20.0,0.34571721148635215,0.044812569399608086
Bradlee Anae,DE,14.0,0.31372807375685924,0.02763784123011075
Bradley Chubb,OLB,6.0,0.31932910238550233,0.04033951726930119
Bradley Roby,CB,1.0,0.30286056342217266,
Brandon Copeland,OLB,6.0,0.31508371798510343,0.029940491726352415
Brandon Graham,DE,15.0,0.3241041981648691,0.04400064291339868
Brandon Jones,SS,17.0,0.33311798930016934,0.03761095571145596
Brandon Stephens,FS,10.0,0.30920474842195805,0.020062074496796554
Brandon Williams,NT,56.0,0.3167665338568468,0.035968031991665664
Brandon Wilson,FS,1.0,0.30286056342217266,
Bravvion Roy,DT,22.0,0.3192196682286463,0.03590650686672112
Breiden Fehoko,NT,1.0,0.30286056342217266,
Brennan Scarlett,OLB,9.0,0.30286056342217266,0.0
Brent Urban,DE,41.0,0.31323677679010864,0.028970945995234813
Brian Burns,DE,110.0,0.3130001033690695,0.02838289201891503
Broderick Washington,DT,22.0,0.30649082803527194,0.01702745035361005
Bryan Mone,NT,36.0,0.3301944764667306,0.047099059098774716
Bryce Callahan,CB,3.0,0.30286056342217266,0.0
Bryce Hall,CB,2.0,0.30286056342217266,0.0
Bryce Huff,DE,75.0,0.3158708089020278,0.03306785753284392
Bud Dupree,OLB,62.0,0.3065472668802092,0.01648988869364616
Budda Baker,SS,11.0,0.3098874961461849,0.023305699272618444
Byron Jones,CB,1.0,0.30286056342217266,
Byron Murphy,CB,9.0,0.30286056342217266,0.0
C.J. Mosley,ILB,21.0,0.317201933153028,0.0374053958696955
Caden Sterns,FS,2.0,0.3452253048869819,0.059912791945962995
Calais Campbell,DE,126.0,0.32786800669718574,0.038642033005485334
Cam Brown,OLB,2.0,0.34217080150295,0.05559307183395064
Cameron Heyward,DT,141.0,0.31957584250362964,0.035142086379790716
Cameron Jordan,DE,128.0,0.31525672016089135,0.03277644068640009
Cameron Lewis,CB,1.0,0.30286056342217266,
Cameron Sample,DE,96.0,0.31422941060321097,0.029716160285615474
Caraun Reid,DT,6.0,0.3205449767878121,0.04331778914627149
Carl Davis,NT,29.0,0.3238690036881055,0.04524161489529137
Carl Granderson,DE,61.0,0.3204328342426152,0.04074001696920166
Carl Nassib,DE,38.0,0.306221955328534,0.020721011337041215
Carlos Basham,DE,18.0,0.3083543686650333,0.023308241650469658
Carlos Davis,DT,6.0,0.3247546960792291,0.05362945337059403
Carlos Dunlap,OLB,111.0,0.32240091098943546,0.03963769019038859
Carlos Watkins,DE,48.0,0.31962189240476707,0.0360335544654467
Carlton Davis,CB,2.0,0.30286056342217266,0.0
Carter Coughlin,ILB,13.0,0.35531104777645256,0.03872156141826777
Casey Toohill,DE,15.0,0.3028605634221727,5.745950043620392e-17
Chandler Jones,OLB,103.0,0.3143609844226046,0.030960280543769904
Chandon Sullivan,CB,1.0,0.30286056342217266,
Charles Harris,OLB,74.0,0.3248272389886523,0.04127948660261263
Charles Omenihu,DE,58.0,0.329065043123757,0.042735062726524366
Chase Winovich,DE,28.0,0.32325852911737735,0.04148759270049041
Chase Young,DE,143.0,0.31645278127885895,0.03368292260087469
Chauncey Gardner-Johnson,SS,6.0,0.3162408485046066,0.032774871064936734
Chauncey Golston,DE,42.0,0.32136662137809757,0.03407546968300943
Chauncey Rivers,OLB,15.0,0.31870264170997853,0.042743561926250055
Chidobe Awuzie,CB,1.0,0.30286056342217266,
Chris Banjo,FS,1.0,0.30286056342217266,
Chris Board,MLB,15.0,0.3400550107241476,0.049510513122279554
Chris Garrett,LB,2.0,0.30286056342217266,0.0
Chris Harris,CB,4.0,0.30286056342217266,0.0
Chris Jackson,CB,2.0,0.30286056342217266,0.0
Chris Jones,DT,76.0,0.32047590292616546,0.03892296168756025
Chris Rumph,OLB,14.0,0.3145735675899722,0.030038448577385742
Chris Williams,DT,8.0,0.32042174103900134,0.03261087547759407
Chris Wormley,DE,105.0,0.32229625653269345,0.037332694925930505
Christian Barmore,DT,116.0,0.32366593797521526,0.03738290098990931
Christian Covington,NT,69.0,0.3129033790324431,0.026425178703381763
Christian Jones,ILB,2.0,0.3612816082557599,0.08261983393166569
Christian Kirksey,OLB,6.0,0.3574803092073104,0.04432684528724119
Christian Ringo,DT,42.0,0.31812998050281294,0.03558973107085787
Christian Wilkins,DT,79.0,0.32560598632307464,0.035732706144575674
Chuck Clark,SS,11.0,0.3352872209113697,0.07400022644494682
Clelin Ferrell,DE,25.0,0.30682269292166064,0.019810647497439857
Cody Barton,MLB,1.0,0.5030755421861159,
Cole Holcomb,OLB,18.0,0.3440081683593442,0.05009827216983192
Corey Peters,DT,18.0,0.31688346221037283,0.03290372843808646
Cory Littleton,OLB,1.0,0.30286056342217266,
D.J. Jones,DT,45.0,0.31888099413253135,0.03361291879863357
D.J. Reader,NT,97.0,0.31887214681233433,0.03299809554893393
D.J. Wonnum,DE,95.0,0.31199992769551316,0.027204283878008995
Da'Shawn Hand,DE,1.0,0.30286056342217266,
DaQuan Jones,DT,76.0,0.3294891025178121,0.040952639160033215
Daelin Hayes,OLB,2.0,0.30286056342217266,0.0
Dalvin Tomlinson,DT,55.0,0.32158363921429306,0.034288875713705376
Damien Wilson,OLB,11.0,0.3249452930536368,0.03824174233997319
Damion Square,NT,30.0,0.3028605634221726,5.646012854083702e-17
